trial,state,objective,avg_composite,avg_vif,avg_nrqm,avg_unique,denoise_radius,ltm_radius,ltm_downsample,post_denoise_radius,sharp_radius,raw_y_blur_radius,day_vif,day_nrqm,day_unique,day_composite,night_vif,night_nrqm,night_unique,night_composite
0,trialstate.complete,1.9007812763384484,1.9007812763384484,0.7078111569086711,7.59028689066569,1.301825592915217,2,16,0.25,0,2.5,4,0.5245365500450134,7.750847975413005,0.9652929902076721,1.6213853558912081,0.8910857637723287,7.429725805918376,1.638358195622762,2.1801771967856887
1,trialstate.complete,1.8124033002042175,1.8124033002042175,0.7487612863381704,7.43894879023234,0.9592423637708029,1,6,0.5,4,2.5,9,0.5995263059933981,6.3919251759847,0.7615079879760742,1.4925545657478967,0.8979962666829427,8.48597240447998,1.1569767395655315,2.1322520346605383
2,trialstate.complete,1.4751093548460612,1.4751093548460612,0.7539535959561666,6.441299597422281,0.23107762852062783,3,4,1.0,6,0.5,8,0.6419024070103964,5.10282023747762,0.03434667425851027,1.1636333107287704,0.8660047849019369,7.779778957366943,0.42780858278274536,1.7865853989633522
3,trialstate.complete,1.7715617232235075,1.7715617232235075,0.7429576218128204,7.431026220321655,0.8565052946408589,1,15,0.5,3,1.0,15,0.6031571427981058,6.358267307281494,0.7472067475318909,1.488052540301303,0.882758100827535,8.503785133361816,0.965803841749827,2.055070906145712
4,trialstate.complete,1.7178243465817125,1.7178243465817125,0.7501456141471863,7.045174837112427,0.7894845356543859,1,6,0.75,5,2.5,16,0.6189878582954407,5.851077556610107,0.47142154971758526,1.3612359733884634,0.8813033699989319,8.239272117614746,1.1075475215911865,2.0744127197749616
5,trialstate.complete,1.8011940385111571,1.8011940385111571,0.758421003818512,7.220879554748535,0.9620561997095743,4,6,0.5,5,2.0,2,0.598871648311615,6.394246419270833,0.7376278638839722,1.4841719989907345,0.9179703593254089,8.047512690226236,1.1864845355351765,2.1182160780315797
6,trialstate.complete,1.8158060482799658,1.8158060482799658,0.8007349769274394,7.178752899169922,0.8915882358948389,2,8,0.75,0,2.0,7,0.6629916429519653,6.3745096524556475,0.49114057421684265,1.4641559692229529,0.9384783109029134,7.982996145884196,1.2920358975728352,2.167456127336979
7,trialstate.complete,1.8072683345078526,1.8072683345078526,0.7537129819393158,7.407106637954712,0.9385350048542023,1,5,0.5,6,1.5,3,0.5997017423311869,6.397731304168701,0.7063864270846049,1.4749367796474495,0.9077242215474447,8.416481971740723,1.1706835826237996,2.139599889368256
8,trialstate.complete,1.796417742361446,1.796417742361446,0.7607378164927164,7.218185583750406,0.9415850440661113,4,14,0.5,6,1.5,7,0.6001160542170206,6.403642972310384,0.7136294444402059,1.478356595051646,0.9213595787684122,8.03272819519043,1.1695406436920166,2.114478889671246
9,trialstate.complete,1.8562683144323626,1.8562683144323626,0.8001036445299785,7.289135694503784,0.9817542831103008,4,15,0.5,0,1.0,16,0.63363116979599,6.574850241343181,0.6774096886316935,1.5169191976709762,0.9665761192639669,8.003421147664389,1.286098877588908,2.195617431193749
10,trialstate.complete,1.8387404365416664,1.8387404365416664,0.6755942404270172,7.6343880494435625,1.1991233726342518,4,7,0.25,4,2.0,8,0.5164200067520142,7.636289914449056,0.9575168887774149,1.5992209752837616,0.8347684741020203,7.632486184438069,1.4407298564910889,2.078259897799571
11,trialstate.complete,1.7971316288264592,1.7971316288264592,0.7487362225850424,7.308703899383545,0.9525760014851887,4,7,0.5,2,2.5,3,0.6040717562039694,6.386713981628418,0.788135846455892,1.505454840473493,0.8934006889661154,8.230693817138672,1.1170161565144856,2.0888084171794254
12,trialstate.complete,1.8405429789341887,1.8405429789341887,0.675329734881719,7.621124744415283,1.2093035181363423,1,11,0.25,4,2.0,2,0.5161797602971395,7.6341597239176435,0.957479198773702,1.5987551464537382,0.8344797094662985,7.608089764912923,1.4611278374989827,2.0823308114146393
13,trialstate.complete,1.7134820807913145,1.7134820807913145,0.7579042116800945,6.908943573633829,0.7940513292948406,4,15,0.75,3,2.0,6,0.6211378773053488,5.829960664113362,0.5263112386067709,1.3795708478151956,0.8946705460548401,7.987926483154297,1.0617914199829102,2.0473933137674334
14,trialstate.complete,1.7955254234919749,1.7955254234919749,0.6493338346481323,8.029403527577719,1.0297547380129497,3,15,0.25,1,0.5,3,0.5234662294387817,7.553415934244792,0.9499814112981161,1.595467976635496,0.7752014398574829,8.505391120910645,1.1095280647277832,1.9955828703484535
15,trialstate.complete,1.6964804304636916,1.6964804304636916,0.7528476615746815,6.925978660583496,0.7531054615974426,3,12,0.75,2,1.5,6,0.62518709897995,5.815035502115886,0.5329926609992981,1.3843546918604175,0.8805082241694132,8.036921819051107,0.9732182621955872,2.0086061690669657
16,trialstate.complete,1.7178690601087063,1.7178690601087063,0.8121560613314311,7.168356498082479,0.5666326135396957,2,13,1.0,0,3.0,12,0.6996982296307882,6.468681812286377,0.27321415146191913,1.4376377036086818,0.924613893032074,7.868031183878581,0.8600510756174723,1.998100416608731
17,trialstate.complete,1.8442466704797646,1.8442466704797646,0.6561264197031658,8.068580547968548,1.1437877317269642,2,16,0.25,1,1.0,12,0.5217227339744568,7.654013156890869,0.970849851767222,1.6107403433026672,0.7905301054318746,8.483147939046225,1.3167256116867065,2.077752997656862
18,trialstate.complete,1.8414782082866827,1.8414782082866827,0.6578150391578674,8.04428784052531,1.1377042929331462,3,10,0.25,1,1.0,11,0.5220202406247457,7.653751373291016,0.9678148428599039,1.6100000029688677,0.7936098376909891,8.434824307759603,1.3075937430063884,2.072956413604498
19,trialstate.complete,1.7182067458462367,1.7182067458462367,0.8126132686932881,7.169746001561483,0.5658571968475978,2,16,1.0,0,3.0,14,0.7005794644355774,6.471460819244385,0.2716611921787262,1.4382791865325273,0.9246470729509989,7.868031183878581,0.8600532015164694,1.998134305159946
20,trialstate.complete,1.8452340128583908,1.8452340128583908,0.6636206209659576,8.05034589767456,1.1297375361124673,3,13,0.25,2,1.0,5,0.5194559097290039,7.621757507324219,0.9617995023727417,1.602231173985839,0.8077853322029114,8.478934288024902,1.2976755698521931,2.088236851730943
21,trialstate.complete,1.8452340128583908,1.8452340128583908,0.6636206209659576,8.05034589767456,1.1297375361124673,3,13,0.25,2,1.0,5,0.5194559097290039,7.621757507324219,0.9617995023727417,1.602231173985839,0.8077853322029114,8.478934288024902,1.2976755698521931,2.088236851730943
22,trialstate.complete,1.843921549395273,1.843921549395273,0.6562333206335704,8.068237543106079,1.1425945659478505,2,13,0.25,1,1.0,5,0.5218666195869446,7.653746763865153,0.9697013894716898,1.6104747692302266,0.7906000216801962,8.482728322347006,1.3154877424240112,2.0773683295603194
23,trialstate.complete,1.901689319063296,1.901689319063296,0.7108071446418762,7.57340677579244,1.3006257911523182,3,14,0.25,0,2.5,1,0.5245692928632101,7.750551700592041,0.9653206070264181,1.6213976768243512,0.8970449964205424,7.396261850992839,1.6359309752782185,2.1819809613022407
24,trialstate.complete,1.9007945781082214,1.9007945781082214,0.7078249355157216,7.590280930201213,1.3018259505430856,2,16,0.25,0,2.5,1,0.5245690941810608,7.75081221262614,0.9652912020683289,1.6214137277027172,0.8910807768503824,7.429749647776286,1.6383606990178425,2.1801754285137256
25,trialstate.complete,1.9007945781082214,1.9007945781082214,0.7078249355157216,7.590280930201213,1.3018259505430856,2,16,0.25,0,2.5,1,0.5245690941810608,7.75081221262614,0.9652912020683289,1.6214137277027172,0.8910807768503824,7.429749647776286,1.6383606990178425,2.1801754285137256
26,trialstate.complete,1.8194061051861246,1.8194061051861246,0.6553773681322734,7.598158518473307,1.21263986825943,2,14,0.25,1,2.5,1,0.5200955271720886,7.657495339711507,0.9757964213689169,1.6111102096674046,0.7906592090924581,7.538821697235107,1.449483315149943,2.0277020007048447
27,trialstate.complete,1.9007945781082214,1.9007945781082214,0.7078249355157216,7.590280930201213,1.3018259505430856,2,14,0.25,0,2.5,1,0.5245690941810608,7.75081221262614,0.9652912020683289,1.6214137277027172,0.8910807768503824,7.429749647776286,1.6383606990178425,2.1801754285137256
28,trialstate.complete,1.81564301527677,1.81564301527677,0.6567902366320293,7.576192617416382,1.2037017544110615,3,11,0.25,1,2.5,1,0.5203844308853149,7.650623003641765,0.9747811158498129,1.6103734449390572,0.7931960423787435,7.501762231190999,1.4326223929723103,2.0209125856144827
29,trialstate.complete,1.9007812763384484,1.9007812763384484,0.7078111569086711,7.59028689066569,1.301825592915217,2,16,0.25,0,2.5,4,0.5245365500450134,7.750847975413005,0.9652929902076721,1.6213853558912081,0.8910857637723287,7.429725805918376,1.638358195622762,2.1801771967856887
30,trialstate.complete,1.9002777771916686,1.9002777771916686,0.7079733113447826,7.588566144307455,1.300344854593277,2,9,0.25,0,2.5,2,0.5247754653294882,7.746905485788981,0.9629684487978617,1.6204551758515238,0.8911711573600769,7.430226802825928,1.6377212603886921,2.1801003785318134
31,trialstate.complete,1.9007945781082214,1.9007945781082214,0.7078249355157216,7.590280930201213,1.3018259505430856,2,14,0.25,0,2.5,1,0.5245690941810608,7.75081221262614,0.9652912020683289,1.6214137277027172,0.8910807768503824,7.429749647776286,1.6383606990178425,2.1801754285137256
32,trialstate.complete,1.9007945781082214,1.9007945781082214,0.7078249355157216,7.590280930201213,1.3018259505430856,2,15,0.25,0,2.5,1,0.5245690941810608,7.75081221262614,0.9652912020683289,1.6214137277027172,0.8910807768503824,7.429749647776286,1.6383606990178425,2.1801754285137256
33,trialstate.complete,1.8194156684233547,1.8194156684233547,0.6553900440533955,7.598158518473307,1.2126305301984153,2,16,0.25,1,2.5,4,0.5201173424720764,7.657495339711507,0.9757866859436035,1.6111287798288665,0.7906627456347147,7.538821697235107,1.4494743744532268,2.0277025570178426
34,trialstate.complete,1.707651068700294,1.707651068700294,0.8167496820290884,7.1069646676381435,0.5406153003374736,3,14,1.0,0,2.5,2,0.6996735533078512,6.465509573618571,0.2602551579475403,1.432976143233836,0.9338258107503256,7.748419761657715,0.8209754427274069,1.982325994166752
35,trialstate.complete,1.8010621519782841,1.8010621519782841,0.6485402087370555,8.05348285039266,1.0415220161279044,1,12,0.25,1,0.5,3,0.523684581120809,7.553157488505046,0.9480410218238831,1.595013687898934,0.773395836353302,8.553808212280273,1.1350030104319255,2.007110616057634
36,trialstate.complete,1.8908821382181942,1.8908821382181942,0.7001786728700001,7.613574425379435,1.288039356470108,1,16,0.25,0,2.5,1,0.5245577494303385,7.751001834869385,0.9653322498003641,1.6214350277399818,0.8757995963096619,7.476147015889485,1.6107464631398518,2.1603292486964065
37,trialstate.complete,1.9016614598678054,1.9016614598678054,0.7107908129692078,7.573446273803711,1.3005793591340382,3,14,0.25,0,2.5,2,0.5245275100072225,7.7505621910095215,0.965303917725881,1.621351379915496,0.897054115931193,7.3963303565979,1.6358548005421956,2.1819715398201147
38,trialstate.complete,1.7157016801659268,1.7157016801659268,0.7553974588712056,6.935231049855551,0.8003441492716472,3,12,0.75,3,2.5,4,0.620996356010437,5.841494242350261,0.5323206583658854,1.382585822260539,0.8897985617319742,8.02896785736084,1.068367640177409,2.0488175380713147
39,trialstate.complete,1.559624709309414,1.559624709309414,0.7547506888707478,6.597911039988199,0.435249184568723,3,15,1.0,2,3.0,2,0.6415466467539469,5.310617764790853,0.2672102153301239,1.2616784059396682,0.8679547309875488,7.885204315185547,0.6032881538073221,1.8575710126791598
40,trialstate.complete,1.8159873716750143,1.8159873716750143,0.6566278437773386,7.5796089967091875,1.2041970888773599,3,15,0.25,1,2.5,9,0.5201312700907389,7.657413323720296,0.9757895469665527,1.6111354595217704,0.7931244174639384,7.501804669698079,1.4326046307881672,2.0208392838282583
