step,lr,loss,ms_ssim,vif,nrqm,unique,vif_term,a_nrqm_term,b_unique_term,composite,l1_y,l1_uv,head_grad_mean,body_grad_mean,tail_grad_mean
0,0.00100000,-0.79527748,0.91611290,0.53038996,1.66954780,-0.92337298,0.53038996,0.16695478,-0.30779069,0.38955406,0.06122396,0.02940533,,,
1,0.00100000,-1.03327501,0.90780616,0.52079540,1.64701331,-0.07429381,0.52079540,0.16470133,-0.02476458,0.66073216,0.07897762,0.08481649,0.06939812,0.04469624,1.43497610
2,0.00100000,-0.76818693,0.92510641,0.49232641,2.35747957,-0.93705344,0.49232641,0.23574796,-0.31235083,0.41572353,0.04739600,0.23501366,0.08666021,0.04570214,2.02341151
3,0.00100000,-0.97805035,0.91317004,0.43280953,2.46419716,-0.12940776,0.43280953,0.24641972,-0.04313588,0.63609337,0.08612714,0.26140207,0.10448020,0.06108654,1.54229486
4,0.00100000,-1.04682529,0.89374900,0.37810668,2.39219117,0.24247573,0.37810668,0.23921912,0.08082516,0.69815096,0.18513432,0.33098423,0.15054311,0.04959849,1.89707041
5,0.00100000,-1.11696434,0.91336429,0.46445635,2.42453051,0.34895203,0.46445635,0.24245305,0.11631723,0.82322663,0.23370907,0.40422499,0.05879058,0.03380671,0.68341339
6,0.00100000,-1.25097132,0.86001265,0.37678087,2.51226664,1.06579459,0.37678087,0.25122666,0.35526451,0.98327204,0.33166879,0.41813949,0.06738978,0.03527377,0.78767073
7,0.00100000,-1.29513383,0.89902031,0.44409585,2.48310947,1.01398003,0.44409585,0.24831095,0.33799301,1.03039980,0.22854158,0.41309297,0.15629956,0.07271867,1.09578693
8,0.00100000,-1.30700243,0.90110856,0.44935283,2.43094349,1.02851629,0.44935283,0.24309435,0.34283842,1.03528560,0.17964172,0.37466854,0.04183330,0.02493701,0.54489875
9,0.00100000,-1.44201803,0.89059299,0.41436040,2.47352195,1.54049718,0.41436040,0.24735219,0.51349855,1.17521115,0.15921831,0.35032248,0.06353884,0.02330211,0.47740194
10,0.00100000,-1.31032276,0.87096417,0.37111670,2.54680419,1.18134511,0.37111670,0.25468042,0.39378131,1.01957842,0.18992095,0.26380014,0.06030608,0.02316416,0.80078012
